invoice_id,date,vendor,category,amount,approved_by
INV-10521,2024-05-18,NovaTech Systems,Consulting,2948.42,S.Park
INV-10737,2024-08-14,Meridian IT Solutions,Legal,4378.33,M.Lee
INV-10740,2024-03-22,Apex Office Supplies,Consulting,2233.64,M.Lee
INV-10660,2024-06-16,Blue Ridge Consulting,Office Supplies,227.32,J.Kim
INV-10411,2024-06-09,Blue Ridge Consulting,Catering,657.09,S.Park
INV-10678,2024-05-23,Apex Office Supplies,IT Services,1028.32,C.Choi
INV-10626,2024-02-29,Titan Logistics Co.,Staffing,149.96,J.Kim
INV-10513,2024-04-28,Apex Office Supplies,Consulting,798.87,M.Lee
INV-10859,2024-09-15,Meridian IT Solutions,Office Supplies,12620.18,C.Choi
INV-10136,2024-10-18,Blue Ridge Consulting,Software Licenses,184.33,C.Choi
INV-10811,2024-05-13,NovaTech Systems,Legal,1217.12,J.Kim
INV-10076,2024-05-01,Greenway Staffing,Office Supplies,440.12,S.Park
INV-10636,2024-07-05,Blue Ridge Consulting,Catering,3792.78,S.Park
INV-DLT-N0006,2024-05-04,Delta Management Group,Management,5893.68,S.Park
INV-10938,2024-12-01,Riverfront Catering,Facilities,2251.65,M.Lee
INV-10899,2024-11-19,Apex Office Supplies,IT Services,178.23,C.Choi
INV-10280,2024-06-09,NovaTech Systems,Software Licenses,451.93,C.Choi
INV-10883,2024-03-13,Riverfront Catering,Consulting,1146.15,J.Kim
INV-10761,2024-10-19,Greenway Staffing,Facilities,455.78,M.Lee
INV-10319,2024-05-25,Riverfront Catering,Consulting,354.2,S.Park
INV-10549,2024-09-04,Coastal Marketing Group,Consulting,220.53,M.Lee
INV-10174,2024-06-17,Titan Logistics Co.,Catering,532.03,C.Choi
INV-10371,2024-12-14,Titan Logistics Co.,Logistics,11482.72,M.Lee
INV-10527,2024-05-17,Meridian IT Solutions,Staffing,1888.01,S.Park
INV-10210,2024-04-11,NovaTech Systems,Catering,714.01,C.Choi
INV-10235,2024-03-03,Inland Legal Services,Staffing,3198.79,J.Kim
INV-10101,2024-12-22,Inland Legal Services,Logistics,1238.21,C.Choi
INV-DLT-F0004,2024-11-10,Delta Management Group,Management,92461.66,S.Park
INV-10902,2024-10-28,Coastal Marketing Group,Marketing,1855.43,S.Park
INV-10947,2024-11-21,Meridian IT Solutions,IT Services,969.99,J.Kim
INV-10346,2024-09-11,Coastal Marketing Group,Staffing,94.81,M.Lee
INV-10139,2024-05-21,Greenway Staffing,Logistics,117.82,J.Kim
INV-10621,2024-08-04,Riverfront Catering,Catering,646.43,J.Kim
INV-10499,2024-12-23,Apex Office Supplies,Catering,3078.02,S.Park
INV-10370,2024-02-07,Inland Legal Services,Office Supplies,413.44,M.Lee
INV-10198,2024-12-11,Titan Logistics Co.,Logistics,427.61,C.Choi
INV-10687,2024-03-31,Meridian IT Solutions,Legal,1290.34,J.Kim
INV-10584,2024-12-13,Riverfront Catering,Consulting,483.89,S.Park
INV-10901,2024-10-03,Riverfront Catering,Staffing,272.23,S.Park
INV-10059,2024-11-26,Inland Legal Services,Marketing,4350.26,C.Choi
INV-10328,2024-05-01,Titan Logistics Co.,Marketing,753.04,J.Kim
INV-10096,2024-04-30,Titan Logistics Co.,Marketing,542.46,S.Park
INV-10312,2024-12-20,Meridian IT Solutions,Software Licenses,3800.45,S.Park
